CAS,haz,SMILES
77-58-7,1,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
683-18-1,1,CCCC[Sn](CCCC)(Cl)Cl
818-08-6,1,CCCC[Sn](=O)CCCC
78-34-2,1,CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC
453-13-4,1,C(C(CF)O)F
367-11-3,1,C1=CC=C(C(=C1)F)F
372-18-9,1,C1=CC(=CC(=C1)F)F
540-36-3,1,C1=CC(=CC=C1F)F
8065-71-2,1,C(C(CF)O)F.C(C(CCl)O)F
7783-41-7,1,O(F)F
13779-41-4,1,OP(=O)(F)F
75-37-6,1,CC(F)F
75-38-7,1,C=C(F)F
121-46-0,1,C1C2C=CC1C=C2
101-83-7,1,C1CCC(CC1)NC2CCCCC2
26747-93-3,1,C1=CC=C(C(=C1)S(=O)(=O)NN)S(=O)(=O)NN
1738-25-6,1,CN(C)CCC#N
52-85-7,1,CN(C)S(=O)(=O)C1=CC=C(C=C1)OP(=S)(OC)OC
79-44-7,1,CN(C)C(=O)Cl
622-68-4,1,CN(C)C1=CC=C(C=C1)N=NC2=CC=C(C=C2)[As](=O)(O)O
124-40-3,1,CNC
95-47-6,1,CC1=CC=CC=C1C
108-38-3,1,CC1=CC(=CC=C1)C
106-42-3,1,CC1=CC=C(C=C1)C
526-75-0,1,CC1=C(C(=CC=C1)O)C
105-67-9,1,CC1=CC(=C(C=C1)O)C
95-87-4,1,CC1=CC(=C(C=C1)C)O
576-26-1,1,CC1=C(C(=CC=C1)C)O
95-65-8,1,CC1=C(C=C(C=C1)O)C
108-68-9,1,CC1=CC(=CC(=C1)O)C
52-68-6,1,COP(=O)(C(C(Cl)(Cl)Cl)O)OC
62-73-7,1,COP(=O)(OC)OC=C(Cl)Cl
7786-34-7,1,C/C(=C\C(=O)OC)/OP(=O)(OC)OC
109-55-7,1,CN(C)CCCN
766-15-4,1,CC1(CCOCO1)C
15176-21-3,1,CC1COC(CO1)C
627-58-7,1,CC(=C)CCC(=C)C
764-13-6,1,CC(=CC=C(C)C)C
563-78-0,1,CC(C)C(=C)C
13052-09-0,1,CCCCC(CC)C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)C(CC)CCCC
1068-27-5,1,CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C
78-63-7,1,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
3025-88-5,1,CC(C)(CCC(C)(C)OO)OO
2618-77-1,1,CC(C)(CCC(C)(C)OOC(=O)C1=CC=CC=C1)OOC(=O)C2=CC=CC=C2
1068-27-5,1,CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C
563-79-1,1,CC(=C(C)C)C
66-81-9,1,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C
2738-18-3,1,CC(C)CC=CC(C)C
565-80-0,1,CC(C)C(=O)C(C)C
3254-63-5,1,COP(=O)(OC)OC1=CC=C(C=C1)SC
4685-14-7,1,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C
119-93-7,1,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N
1085-98-9,1,CN(C)S(=O)(=O)N(C1=CC=CC=C1)SC(F)(Cl)Cl
300-76-5,1,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br
55-38-9,1,CC1=C(C=CC(=C1)OP(=S)(OC)OC)SC
298-00-0,1,COP(=S)(OC)OC1=CC=C(C=C1)[N+](=O)[O-]
7700-17-6,1,CC(C1=CC=CC=C1)OC(=O)/C=C(\C)/OP(=O)(OC)OC
141-66-2,1,C/C(=C\C(=O)N(C)C)/OP(=O)(OC)OC
6923-22-4,1,C/C(=C\C(=O)NC)/OP(=O)(OC)OC
13171-21-6,1,CCN(CC)C(=O)/C(=C(\C)/OP(=O)(OC)OC)/Cl
